Image_Presented,rawDT,SlideNumber,SubID,SequenceLocation,logDT,residDT,TwoAFC_Sum,TwoAFC_PropCorrect,SequenceNumber
Movies/BigAnimals59_A1.mov,2.44406271,1,A005,Slide1,0.388112345,-0.279123469,3,0.6,1
Movies/BigAnimals13_B4.mov,2.149133205,2,A005,Slide2,0.332263334,-0.056544507,3,0.6,1
Movies/BigAnimals13_B4.mov,2.166842222,3,A005,Slide3,0.335827289,0.052338836,3,0.6,1
Movies/black.mov,10.3897295,4,A005,Blank,0.662070285,0.435506401,3,0.6,1
Movies/BigAnimals06_A4.mov,2.400326729,5,A005,Slide1,0.380270361,0.189862765,3,0.6,2
Movies/BigAnimals10_B2.mov,2.533663034,6,A005,Slide2,0.403748855,0.238556083,3,0.6,2
Movies/BigAnimals10_B2.mov,1.582889795,7,A005,Slide3,0.199450679,0.052953198,3,0.6,2
Movies/black.mov,2.26680398,8,A005,Blank,0.355413966,0.223391954,3,0.6,2
Movies/BigAnimals59_A1.mov,1.416202068,9,A005,Slide1,0.151125224,0.030679496,3,0.6,3
Movies/BigAnimals10_B2.mov,1.332828403,10,A005,Slide2,0.124774239,0.013821012,3,0.6,3
Movies/BigAnimals10_B2.mov,1.115778089,11,A005,Slide3,0.047577829,-0.055434514,3,0.6,3
Movies/black.mov,1.59863162,12,A005,Blank,0.203748399,0.10748821,3,0.6,3
Movies/BigAnimals05_A3.mov,1.317034483,13,A005,Slide1,0.119597146,0.029156807,3,0.6,4
Movies/BigAnimals11_B3.mov,1.199166059,14,A005,Slide2,0.078879328,-0.006486848,3,0.6,4
Movies/BigAnimals11_B3.mov,1.782206774,15,A005,Slide3,0.25095809,0.170059622,3,0.6,4
Movies/black.mov,1.500479698,16,A005,Blank,0.176230124,0.099299011,3,0.6,4
Movies/BigAnimals03_A2.mov,1.499505877,17,A005,Slide1,0.175948172,0.102566416,3,0.6,5
Movies/BigAnimals10_B2.mov,1.716334462,18,A005,Slide2,0.234601923,0.164416476,3,0.6,5
Movies/BigAnimals10_B2.mov,1.716360211,19,A005,Slide3,0.234608438,0.167318207,3,0.6,5
Movies/black.mov,1.466210246,20,A005,Blank,0.16619625,0.10154222,3,0.6,5
Movies/BigAnimals05_A3.mov,1.599596858,21,A005,Slide1,0.204010542,0.141768163,3,0.6,6
Movies/BigAnimals10_B2.mov,1.699736953,22,A005,Slide2,0.230381716,0.170354952,3,0.6,6
